,,,,Ordinal or label,None,None,One Hot,One Hot,DO not consider: same values,None: Direct use continuous data,DO not use: redundant,,One hot,Binary encoding,Don't use,One hot,Binary: Yes NO,Do not use,Binary ,Binary Encoding,Binary encoding,Binary encoding,do eda BETWEEN Admit Type and Grades,"One Hot , Nominal","One hot, categorical and nominal",Analysis with EDA
Year to Grad,Term Desc,Class,,Grade,GPA,Units Earned,Major at Entry,Major (Latest),Academic Standing,Units Attempting,Enrollment Status Code,,Expected Grad Term,First Generation,Units Needed,Cohort Type,underrepresented,EOP,Parent level edu,Graduated,Enrolled Not Graduated,Not Graduated Not Enrolled,Admit Type,Program Status,Program Action,Academic Career
0,Spring 2023,CPSC~483~01,,C,3.04,130,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,3,E,,Spring 2023,No,0,Graduated,No,No,Parent Attended Some College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.18,126,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,3,E,,Summer 2023,No,0,Graduated,Yes,No,Parent Attended Some College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.6,172,Undegrad Undeclared    1MJ 1BA,Computer Science       1MJ 1BS,Good Standing,18,E,,Spring 2023,Yes,0,Graduated,No,No,Student is First Generation College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,C,2.79,153,Undegrad Undeclared    1MJ 1BA,Computer Science       1MJ 1BS,Good Standing,0,E,,Summer 2023,Yes,NA,Not Graduated Not Enrolled,Yes,No,Student is First Generation College,0%     (0),0%     (0),100%     (1),First-Time Freshmen,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,C,2.43,133,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,13,E,,Not Applicable,Yes,NA,Enrolled Not Graduated,Yes,No,Student is First Generation College,0%     (0),100%     (1),0%     (0),First-Time Freshmen,Active in Program,Plan Change,Undergraduate
0,Spring 2023,CPSC~483~01,,C,2.78,120,Electrical Engineering 1MJ 1BS,Computer Science       1MJ 1BS,Good Standing,18,E,,Spring 2023,Yes,0,Graduated,Yes,No,Student is First Generation College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,C,2.87,99,,,Good Standing,18,E,,Not Applicable,No,NA,Enrolled Not Graduated,No,No,Parent Graduated College,0%     (0),100%     (1),0%     (0),UG Transfer,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,A,3.69,126,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,12,E,,Spring 2023,No,0,Graduated,No,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,C,2.49,196,*Biological Science    1MJ 1BA,Computer Science       1MJ 1BS,Good Standing,6,E,,Spring 2023,No,NA,Enrolled Not Graduated,No,No,Parent Graduated College,0%     (0),100%     (1),0%     (0),Unknown,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,C,3.03,151,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,18,E,,Spring 2023,Yes,0,Graduated,No,No,Student is First Generation College,100%     (1),0%     (0),0%     (0),Unknown,Completed Program,Completion of Program,Undergraduate
